Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
41366.5,42966.94,39781.04,40489.91,163.413591,7987,2022-04-21,BTC,42033.801799999994,,41973.71744543802,41625.63688090725
40471.8,40789.48,39184.92,39720.26,133.77744,7132,2022-04-22,BTC,41978.873600000006,,41885.34656522477,41606.677906967874
39709.18,39977.12,39283.86,39428.27,53.504524,3079,2022-04-23,BTC,41984.9708,,41788.99062149046,41585.002206401026
39443.96,39927.78,38977.06,39434.87,123.038982,6954,2022-04-24,BTC,41985.565599999994,,41696.67216574574,41563.60785608858
39450.12,40595.71,38200.0,40424.99,268.125274,14109,2022-04-25,BTC,42025.991200000004,,41646.802276892966,41552.278325182226
40424.99,40784.28,37706.39,38131.45,172.764463,10547,2022-04-26,BTC,42028.6202,,41508.945324857945,41518.240232394346
38119.83,39464.51,37887.0,39220.8,165.275804,11561,2022-04-27,BTC,42037.8226,,41419.21413564783,41495.380130579484
39240.6,40374.52,38887.29,39749.7,126.620153,11594,2022-04-28,BTC,41993.88939999999,,41353.74299307341,41478.01017903143
39749.6,39920.56,38179.9,38600.3,112.075083,11786,2022-04-29,BTC,41977.78400000001,,41245.764836482296,41449.37624690176
38594.59,38789.19,37585.99,37633.06,95.557287,8548,2022-04-30,BTC,41955.704000000005,,41104.090137012405,41411.402950912685
37624.01,38667.84,37400.0,38485.9,108.478017,10149,2022-05-01,BTC,41948.7926,,41001.41601399231,41382.29346881405
38482.82,39155.03,38049.85,38517.8,127.688289,11085,2022-05-02,BTC,41963.1134,,40904.01930756124,41353.791046238795
38519.49,38642.08,37526.35,37745.43,106.634445,10161,2022-05-03,BTC,41924.4456,,40780.1530602059,41317.886956226466
37733.12,40058.21,37658.84,39671.2,124.32594,10384,2022-05-04,BTC,41931.3952,,40736.664704903706,41301.50201138839
39690.25,39841.42,35603.03,36558.02,243.301604,16179,2022-05-05,BTC,41839.9508,,40572.796285103555,41254.303185404424
36557.51,36680.3,35280.0,36023.1,170.427931,9995,2022-05-06,BTC,41741.8412,,40394.37682294263,41202.25141241533
36016.63,36133.66,34792.87,35479.24,99.739475,7416,2022-05-07,BTC,41616.614199999996,,40201.62635929782,41145.306025227124
35465.9,35517.56,33642.05,34063.7,156.691724,10588,2022-05-08,BTC,41454.062600000005,,39960.92336481556,41074.84228368258
34067.56,34242.81,30055.99,30109.56,339.865718,18463,2022-05-09,BTC,41232.049399999996,,39574.59538972475,40965.73499727778
30068.23,32637.33,29758.94,31017.98,892.510819,45410,2022-05-10,BTC,41031.8844,,39239.041845029664,40866.75236048895
31010.04,32148.74,27751.17,29113.86,1001.283521,50517,2022-05-11,BTC,40767.4324,,38841.97589032262,40749.80815789702
29107.86,30223.66,26580.29,29034.65,795.111687,45437,2022-05-12,BTC,40490.128000000004,,38457.37487501585,40633.2394200075
29034.84,31051.35,28768.0,29314.32,171.260599,10681,2022-05-13,BTC,40196.9966,,38098.8237034466,40520.61335612683
29280.19,30327.58,28643.91,30086.0,81.873256,6228,2022-05-14,BTC,39913.276,,37784.59532291928,40416.786357558405
30102.07,31455.3,29489.88,31347.35,131.689876,8057,2022-05-15,BTC,39649.411400000005,,37532.154329863624,40326.543209722004
31314.0,31317.62,29106.15,29878.68,259.534572,13964,2022-05-16,BTC,39310.4048,,37232.01808163368,40222.58437181432
29883.67,30769.64,29460.93,30449.21,120.392453,7688,2022-05-17,BTC,38977.9546,,36966.02560784413,40125.33686562711
30449.94,30713.8,28655.07,28655.07,165.389675,9866,2022-05-18,BTC,38602.596,,36640.10578008554,40011.20485701391
28712.19,30543.02,28694.5,30321.04,134.07165,7678,2022-05-19,BTC,38269.6954,,36392.29927890572,39914.78530619785
30306.58,30759.75,28736.62,29203.99,145.810354,9939,2022-05-20,BTC,37944.101800000004,,36110.404797380004,39808.21022852424
29203.56,29647.2,28950.88,29441.37,87.59979,5935,2022-05-21,BTC,37607.573200000006,,35848.87402101216,39705.05758943445
29441.37,30482.43,29265.65,30286.69,100.59313,7027,2022-05-22,BTC,37297.1322,,35630.74915744306,39611.34248904207
30283.65,30661.51,28877.84,29092.0,212.201092,10749,2022-05-23,BTC,36951.022000000004,,35374.32762185706,39506.67241452424
29114.73,29853.83,28679.68,29663.83,95.132446,7782,2022-05-24,BTC,36612.572400000005,,35150.386538646984,39408.73368403146
29642.59,30212.77,29344.02,29540.5,103.291255,9002,2022-05-25,BTC,36293.2378,,34930.39098811181,39310.54230409085
29545.91,29879.31,28028.24,29218.87,226.679657,15581,2022-05-26,BTC,36015.067599999995,,34706.40977289173,39210.1276542989
29188.43,29388.43,28262.79,28625.99,185.650949,16935,2022-05-27,BTC,35718.0442,,34467.96193866069,39104.81285176856
28619.49,29242.53,28510.39,29042.26,64.546142,5305,2022-05-28,BTC,35453.1444,,34255.18931361517,39004.687947770864
29031.49,29582.69,28841.76,29479.0,81.233107,4757,2022-05-29,BTC,35187.1858,,34067.887771904774,38909.90498311643
29472.74,32200.0,29303.42,31760.68,197.533881,13234,2022-05-30,BTC,34980.7498,,33977.40903575165,38838.76841612025
31743.03,32400.0,30800.0,31785.26,370.734529,13531,2022-05-31,BTC,34825.851,,33891.44240689864,38768.58425277577
31814.89,31978.77,29341.06,29810.54,182.238895,9950,2022-06-01,BTC,34619.991799999996,,33731.40701839281,38679.449484091434
29805.98,30672.86,29600.0,30483.8,131.893465,8742,2022-06-02,BTC,34406.9908,,33604.04988041663,38597.900733005954
30450.77,30700.02,29280.83,29704.16,93.371307,5111,2022-06-03,BTC,34202.963599999995,,33451.113022361074,38509.40580033923
29713.66,29963.45,29482.0,29857.95,42.250285,2735,2022-06-04,BTC,33988.731199999995,,33310.204668542996,38423.32166302242
29871.06,30188.61,29533.88,29923.99,47.41567,2523,2022-06-05,BTC,33779.65900000001,,33177.41193644327,38338.75119871374
29913.05,31759.8,29888.09,31389.07,211.125765,10116,2022-06-06,BTC,33613.7906,,33107.280880112165,38269.600142010124
31380.08,31572.0,29227.88,31119.2,405.316011,19293,2022-06-07,BTC,33419.8394,,33029.316924029335,38198.45188189062
31129.76,31321.79,29858.18,30210.32,236.655892,13516,2022-06-08,BTC,33194.2662,,32918.76802504779,38118.967982568334
30205.09,30698.76,29950.95,30106.6,111.202978,5835,2022-06-09,BTC,32969.0358,,32808.486926026315,38039.24292801542
30081.11,30361.83,28860.9,29092.31,416.234925,14689,2022-06-10,BTC,32741.083800000004,,32662.7544975547,37950.21871977646
29101.47,29438.49,28116.09,28421.24,265.71722,11858,2022-06-11,BTC,32515.103400000004,,32496.420595689808,37855.40301112196
28428.33,28543.9,26563.88,26605.92,490.741524,18149,2022-06-12,BTC,32258.6564,,32265.420572329425,37743.46785678244
26567.95,26878.97,21946.86,22491.54,2187.475274,66677,2022-06-13,BTC,31919.7898,,31882.13113812043,37591.707380595544
22478.08,23344.11,20850.78,22129.68,1720.92196,47393,2022-06-14,BTC,31553.883599999997,,31499.682073880413,37437.856361883154
22116.09,22784.93,20107.35,22594.59,1896.1506,42942,2022-06-15,BTC,31243.1464,,31150.462776865494,37290.1621692276
22573.55,22991.02,20213.86,20372.31,713.625547,17756,2022-06-16,BTC,30866.176599999995,,30727.7901189492,37121.82533172285
20410.04,21357.99,20246.03,20459.81,427.465932,11686,2022-06-17,BTC,30480.3788,,30325.124231931586,36956.03413439228
20460.84,20753.25,17621.36,18981.18,1236.12136,26449,2022-06-18,BTC,30087.996399999996,,29880.263673816622,36777.17986439833
18976.6,20816.54,17967.28,20573.02,1418.743834,25908,2022-06-19,BTC,29746.795599999998,,29515.273725823812,36615.944442862026
